src_ip,src_port,dst_ip,dst_port,protocol,flow_duration,pkt_count_fwd,pkt_count_bwd,pkt_count_total,byte_count_fwd,byte_count_bwd,byte_count_total,mean_iat,min_iat,max_iat,std_iat,mean_pkt_size,min_pkt_size,max_pkt_size,bytes_per_pkt,pkt_rate,byte_rate,fwd_bwd_pkt_ratio,fwd_bwd_byte_ratio,syn_count,ack_count,fin_count,rst_count,psh_count,label
10.0.0.10,0,161.48.164.67,0,ICMP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,icmp
10.0.0.10,80,31.212.201.211,9207,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,1,0,0,fin
10.0.0.10,80,127.45.47.217,1337,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,1,0,rst
10.0.0.10,80,241.69.128.197,7797,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,1,0,0,0,0,syn
127.0.0.1,993,127.0.0.1,33628,TCP,2.2e-05,1,1,2,54,74,128,2.2e-05,2.2e-05,2.2e-05,0.0,64.0,54,74,64.0,91180.52,5835553.39,0.5,0.72,1,1,0,1,0,benign
10.0.0.10,80,236.157.91.104,8803,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,1,0,0,0,0,syn
10.0.0.10,80,10.0.0.20,7500,UDP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,udp
10.0.0.10,80,63.93.241.55,24331,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,0,ack
10.0.0.10,80,135.166.48.234,37969,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,1,0,0,0,0,syn
10.0.0.10,0,118.223.228.87,0,ICMP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,0,0,0,icmp
10.0.0.10,80,27.240.253.151,33877,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,0,1,0,0,fin
10.0.0.10,80,95.232.191.226,39459,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,1,0,0,0,0,syn
10.0.0.10,80,27.50.166.120,10057,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,0,1,0,0,1,psh_ack
10.0.0.10,80,47.97.144.165,24053,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,1,0,0,0,0,syn
1.101.105.179,60756,10.0.0.10,80,TCP,0.0,1,0,1,60,0,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,1.0,60.0,1,1,0,0,0,syn_ack
127.0.0.1,8080,127.0.0.1,40150,TCP,9e-06,1,1,2,54,74,128,9e-06,9e-06,9e-06,0.0,64.0,54,74,64.0,220752.84,14128181.89,0.5,0.72,1,1,0,1,0,benign
10.0.0.10,80,28.169.138.18,50629,TCP,0.0,0,1,1,0,60,60,0.0,0.0,0.0,0.0,60.0,60,60,60.0,0.0,0.0,0.0,0.0,1,1,0,0,0,syn_ack
